,Colorectal male,,,Colorectal female,,,Lung male,,,Lung female,,,Breast cancer female,,,Prostate male,
grid,Expected LE(years),LLE(years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years),,Expected LE (years),LLE (years)
1,20.39176121,4.370146318,,22.99542623,4.145171246,,20.48709895,11.88419252,,23.21140107,12.74107819,,23.12141881,2.848834854,,20.49019886,1.940908505
2,21.79158875,4.75615345,,24.09304697,3.975100165,,21.45826404,10.62866885,,24.13432181,11.43435469,,24.22166127,2.859989085,,22.0110053,2.182849588
3,20.49983316,4.424628279,,22.80266862,4.050664551,,20.69224458,11.86701222,,22.76155793,12.51791117,,22.79960651,2.6651841,,20.61176921,1.848703088
4,20.91747979,4.553278786,,22.96476429,3.975195631,,21.01907308,13.2961757,,23.08745406,13.25236458,,22.97026897,2.677648373,,20.97522753,2.012059069
5,20.33643517,4.143643471,,22.96895572,3.904293851,,20.31228233,9.947124586,,23.14809829,11.20924611,,23.02512264,2.73600769,,20.73461949,1.611561104
6,20.26031526,4.287256177,,22.75603964,4.034860598,,20.21443428,10.50617027,,22.76031178,11.06562501,,23.05269166,2.660189984,,20.40159749,1.840492412
7,20.29293742,4.402428841,,23.27732762,4.24170341,,20.45556772,11.86097858,,23.46558041,13.13933786,,23.29332279,2.875499873,,20.3606208,2.122106428
8,20.58263389,4.35113042,,23.40912707,4.026347909,,20.47094757,10.58836813,,23.57835348,11.86236021,,23.68652598,2.858905876,,20.61760625,1.865217045
9,22.26481447,5.018609996,,24.17058219,4.40633701,,22.22498089,12.50590787,,24.01455811,12.56842043,,24.20154784,3.182036939,,22.46257655,2.915005474
10,21.4979529,4.566900263,,23.52694238,4.021789755,,21.60274386,11.5302347,,23.48945297,11.00368899,,23.56831162,2.862707845,,21.85622031,2.233891545
11,20.74999664,4.530786887,,23.23935068,4.013124412,,20.67779028,10.91459021,,23.27029643,12.75542229,,23.29286208,2.885817613,,20.89423978,2.103467083
12,21.84185654,4.921150734,,23.93488917,4.145910822,,21.96982057,13.13196578,,23.89343843,12.89477678,,24.01685896,3.127973189,,21.90983894,2.786985456
13,21.85066101,4.926869375,,24.37012807,4.415427677,,22.11061033,14.13208564,,24.58055545,15.15499267,,24.5430894,3.308160461,,21.94832868,2.638829495
14,19.0627722,3.609536438,,21.62301396,3.045141553,,19.0627722,8.096594472,,21.62301396,8.150336547,,21.62301396,2.409902593,,19.11662455,1.041795262
15,22.16174664,4.909884049,,24.72395917,4.054075481,,21.90672163,11.40520412,,24.90317244,12.30215989,,24.78989975,3.197065415,,22.58083156,2.466806405
16,21.03665804,4.642480004,,23.13506893,3.633939432,,21.02589102,11.67772705,,23.32168487,11.56830372,,23.40626468,2.93385231,,21.25208607,1.949291288
17,20.12314255,4.059028078,,23.17952543,3.480432311,,20.11905315,9.665916929,,23.21586567,10.34011229,,23.31395011,2.671012031,,20.25726397,1.4787967
18,21.10743353,4.472600164,,23.54657347,3.715999225,,21.43007357,12.23255955,,23.63344886,11.38341779,,23.61619906,2.84365808,,21.38902276,1.864667372
19,22.41229359,4.751303375,,25.72005029,4.246957898,,22.4080961,11.01265805,,25.54665809,10.95092673,,25.81945255,3.306068771,,22.75779294,2.322727068
20,20.56153482,4.43530846,,22.81751521,3.509604716,,20.56561309,11.71396155,,22.92897756,11.29099177,,22.99242976,2.804665298,,20.72178863,1.869623706
21,20.81991383,4.568571926,,23.02965713,3.666729433,,20.93071628,13.0375011,,23.16123684,11.9371831,,23.09198587,2.878566873,,20.91130393,1.841527346
22,20.49373062,4.345559795,,22.86503685,3.835432312,,20.49218163,10.35753772,,22.97093602,10.20587928,,23.04397568,2.582184701,,20.66411947,1.525314978
23,22.23172821,4.813435511,,25.60708882,4.514035387,,22.04086265,10.27044829,,25.39938527,10.7539363,,25.60211356,3.167160632,,22.58434339,2.103422315
24,21.26526061,4.585751912,,24.19045065,4.268090875,,21.22909005,10.79705131,,24.05835413,10.52464417,,24.28634756,3.079095028,,21.37770892,1.756327099
25,22.52880204,5.052555026,,25.27821799,4.199650032,,22.43890602,12.04130462,,25.27280635,12.15628793,,25.38918466,2.968477047,,22.6820134,2.366262111
26,23.03586797,5.022396091,,26.76077526,4.585181627,,22.97759287,11.76780726,,26.52494343,11.43238376,,27.05664255,3.432213728,,23.49020142,2.475872528
27,20.99513238,4.588074355,,23.87633904,3.964838357,,20.93250494,10.95591577,,23.89315647,11.34460142,,24.02225881,2.834523815,,21.00568129,1.662389158
28,20.69405736,4.327253263,,24.190168,3.954021232,,20.88341892,11.59915101,,24.31000327,12.02945616,,24.38249845,2.884279602,,20.834211,1.518417519
29,20.89917944,4.435275868,,24.70232284,4.058362629,,20.77120225,9.643008516,,24.64904792,11.03643568,,24.92765721,2.907280009,,20.92491219,1.530417512
30,20.39777696,4.267789355,,24.07062033,3.814793505,,20.40363802,10.00543021,,23.94533764,9.547159377,,24.41441023,2.99391809,,20.48492987,1.55141083
31,20.15432036,4.226708827,,23.53583514,3.770961274,,20.21962902,11.03997763,,23.58271453,10.73777856,,23.82356887,2.674329978,,20.20783771,1.68083033
32,22.16348822,4.839802044,,27.45706686,4.663832135,,22.54656801,12.0342577,,27.64813891,14.14744768,,27.75821261,3.657251811,,22.72456868,2.460627043
33,23.08937504,5.213127946,,27.37803511,4.684636325,,22.77146901,11.85740373,,27.15289183,13.00369068,,27.57577133,3.588024392,,23.1732309,2.545718901
34,19.73321985,4.096173563,,22.59504853,3.608488405,,19.64850958,9.822628584,,22.70166713,10.38601145,,22.76437282,2.518758264,,19.75581188,1.427952235
